epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.205,1.18291,1.01069,1.25018,0.95179,0.95042,0.9725,0.59654,1.36442,0.71984,1.37442,0.00020909,0.00020909,0.00020909
43,162.687,1.17491,1.01666,1.22973,0.94472,0.9535,0.96719,0.57614,1.40078,0.74793,1.4174,0.000187092,0.000187092,0.000187092
44,165.177,1.17843,1.00166,1.23562,0.95067,0.95456,0.96935,0.58409,1.38555,0.73832,1.4013,0.000165095,0.000165095,0.000165095
45,167.649,1.16513,0.96782,1.2421,0.95604,0.94428,0.96868,0.58996,1.383,0.71645,1.39114,0.000143097,0.000143097,0.000143097
46,170.059,1.14316,0.94324,1.23234,0.94358,0.93964,0.96005,0.58068,1.38592,0.70911,1.3969,0.000121099,0.000121099,0.000121099
47,172.643,1.12934,0.93669,1.2451,0.94463,0.95118,0.96815,0.58009,1.37447,0.70235,1.40422,9.91012e-05,9.91012e-05,9.91012e-05
48,175.119,1.13905,0.93873,1.23387,0.94937,0.94925,0.96871,0.57447,1.38105,0.69765,1.40822,7.71034e-05,7.71034e-05,7.71034e-05
1,5.55238,1.96947,4.40321,2.14052,0.00408,0.30903,0.19102,0.1292,1.51041,4.09138,1.69564,0.00032219,0.00032219,0.00032219
2,10.2547,1.70221,3.80187,1.74403,0.007,0.4119,0.21737,0.13445,1.5319,3.82155,1.50881,0.000652245,0.000652245,0.000652245
3,14.8008,1.7416,3.07379,1.77279,0.8957,0.19171,0.53029,0.27146,1.59983,3.12993,1.7129,0.000979001,0.000979001,0.000979001
4,19.4446,1.71784,2.61847,1.74977,0.62793,0.59387,0.69396,0.33598,1.61287,2.36851,1.69325,0.0010945,0.0010945,0.0010945
5,23.9698,1.71925,2.4803,1.77589,0.72023,0.69001,0.73446,0.38259,1.52785,1.73436,1.67273,0.001089,0.001089,0.001089
6,28.43,1.69603,2.27222,1.7392,0.6522,0.6637,0.68686,0.33578,1.5679,1.81213,1.65252,0.0010835,0.0010835,0.0010835
7,32.9793,1.64939,2.07778,1.68863,0.76906,0.75712,0.81376,0.39204,1.53795,1.73448,1.66295,0.001078,0.001078,0.001078
8,37.5074,1.62013,1.9804,1.66806,0.76658,0.8707,0.85112,0.44189,1.50244,1.572,1.61262,0.0010725,0.0010725,0.0010725
9,41.9408,1.59459,1.9286,1.67943,0.84011,0.83337,0.88044,0.47428,1.51248,1.48192,1.60017,0.001067,0.001067,0.001067
10,46.3697,1.53275,1.81214,1.59769,0.75569,0.77681,0.78549,0.41014,1.5227,1.45402,1.64634,0.0010615,0.0010615,0.0010615
11,50.8243,1.5228,1.7556,1.59114,0.85203,0.85853,0.91747,0.53136,1.4309,1.2472,1.554,0.00105601,0.00105601,0.00105601
12,55.4206,1.55585,1.70983,1.62184,0.91909,0.85951,0.91312,0.51874,1.39045,1.16033,1.53863,0.00105051,0.00105051,0.00105051
13,59.8983,1.54882,1.63483,1.58194,0.8329,0.90234,0.92023,0.47205,1.54688,1.27572,1.61448,0.00104501,0.00104501,0.00104501
14,64.2937,1.5479,1.74634,1.63413,0.88849,0.79027,0.89474,0.47692,1.52039,1.28486,1.56734,0.00103951,0.00103951,0.00103951
15,68.7121,1.48553,1.60433,1.56752,0.90352,0.89705,0.93388,0.54435,1.44008,1.0618,1.50618,0.00103401,0.00103401,0.00103401
16,73.209,1.4748,1.52123,1.5467,0.88837,0.88625,0.91827,0.54179,1.39812,0.99794,1.49922,0.00102851,0.00102851,0.00102851
17,77.6687,1.43484,1.44087,1.50055,0.89056,0.91358,0.92132,0.54023,1.4236,0.99203,1.52132,0.00102301,0.00102301,0.00102301
18,82.073,1.46098,1.47095,1.55714,0.92866,0.90324,0.93795,0.537,1.4233,0.97115,1.51721,0.00101751,0.00101751,0.00101751
19,86.5415,1.45144,1.45489,1.51871,0.92199,0.89995,0.93444,0.55585,1.4233,0.94216,1.51488,0.00101201,0.00101201,0.00101201
20,90.9337,1.41886,1.40497,1.50753,0.91585,0.90114,0.93834,0.56285,1.43254,0.91097,1.50327,0.00100651,0.00100651,0.00100651
21,95.5226,1.43257,1.34517,1.51139,0.93025,0.91363,0.95319,0.54563,1.4877,0.89922,1.52644,0.00100101,0.00100101,0.00100101
22,99.9946,1.42544,1.35395,1.481,0.96563,0.92476,0.96014,0.53995,1.44237,0.87934,1.50997,0.000995512,0.000995512,0.000995512
23,104.575,1.42958,1.34597,1.52836,0.95787,0.91784,0.94324,0.52746,1.68925,0.96517,1.64848,0.000990012,0.000990012,0.000990012
24,109.159,1.38514,1.22652,1.46246,0.94389,0.89258,0.93306,0.54155,1.53709,0.88674,1.53939,0.000984513,0.000984513,0.000984513
25,113.765,1.40875,1.17882,1.44169,0.93743,0.91422,0.94906,0.55168,1.66137,0.90415,1.61997,0.000979013,0.000979013,0.000979013
26,118.322,1.36849,1.27881,1.48412,0.9643,0.90922,0.96167,0.57704,1.46067,0.85954,1.51442,0.000973514,0.000973514,0.000973514
27,122.931,1.37836,1.23439,1.47118,0.96045,0.93029,0.96689,0.56449,1.50599,0.89178,1.52444,0.000968014,0.000968014,0.000968014
28,127.429,1.36592,1.24493,1.5094,0.95108,0.91336,0.94096,0.5541,1.392,0.84414,1.4952,0.000962515,0.000962515,0.000962515
29,131.879,1.35228,1.17685,1.46798,0.96054,0.93583,0.95399,0.55361,1.40675,0.81348,1.47696,0.000957015,0.000957015,0.000957015
30,136.339,1.36627,1.19988,1.50136,0.92997,0.94347,0.95722,0.56505,1.4044,0.79241,1.48276,0.000951516,0.000951516,0.000951516
31,140.832,1.33224,1.0824,1.39084,0.93437,0.92869,0.95284,0.55587,1.53239,0.82813,1.5331,0.000946016,0.000946016,0.000946016
32,145.281,1.34151,1.16107,1.47548,0.93982,0.88051,0.94607,0.56224,1.50915,0.79662,1.51855,0.000940517,0.000940517,0.000940517
33,149.784,1.32065,1.06968,1.40925,0.94373,0.92312,0.96307,0.56701,1.48655,0.78173,1.52076,0.000935018,0.000935018,0.000935018
34,154.195,1.31016,1.06927,1.40934,0.93177,0.93229,0.95292,0.54571,1.45431,0.80329,1.52576,0.000929518,0.000929518,0.000929518
35,158.722,1.26901,1.04331,1.39109,0.92566,0.90818,0.94353,0.5489,1.45278,0.77386,1.50764,0.000924019,0.000924019,0.000924019
36,163.313,1.29621,1.08858,1.42826,0.9425,0.90217,0.95418,0.54013,1.52615,0.78062,1.56373,0.000918519,0.000918519,0.000918519
37,167.75,1.28492,1.04135,1.40781,0.94862,0.93476,0.94373,0.55976,1.48289,0.75191,1.52649,0.00091302,0.00091302,0.00091302
38,172.128,1.28212,1.04495,1.42195,0.96762,0.92479,0.9438,0.57336,1.44204,0.72584,1.49775,0.00090752,0.00090752,0.00090752
39,176.519,1.27255,1.03317,1.40224,0.93832,0.94982,0.96565,0.55398,1.51423,0.78277,1.53429,0.000902021,0.000902021,0.000902021
40,180.901,1.28061,1.05251,1.41912,0.95004,0.95595,0.95815,0.55842,1.45473,0.75989,1.50819,0.000896521,0.000896521,0.000896521
41,185.361,1.26032,1.01111,1.39242,0.95545,0.9164,0.95628,0.55596,1.46337,0.77564,1.51333,0.000891022,0.000891022,0.000891022
42,189.801,1.27985,0.98044,1.36199,0.93009,0.92323,0.95477,0.55783,1.45558,0.74537,1.50611,0.000885523,0.000885523,0.000885523
43,194.246,1.29144,1.03627,1.45198,0.96796,0.93349,0.97078,0.55014,1.48963,0.74687,1.53144,0.000880023,0.000880023,0.000880023
44,198.627,1.27239,0.98999,1.40393,0.98316,0.89708,0.95581,0.56578,1.46746,0.75754,1.52732,0.000874524,0.000874524,0.000874524
45,203.041,1.24189,0.95773,1.38045,0.95855,0.91665,0.95767,0.54569,1.55083,0.79896,1.57,0.000869024,0.000869024,0.000869024
46,207.455,1.26238,0.95911,1.41412,0.9651,0.92346,0.95605,0.54183,1.5579,0.80168,1.56691,0.000863525,0.000863525,0.000863525
47,211.824,1.23706,0.91975,1.37344,0.94372,0.93483,0.95151,0.568,1.49958,0.73842,1.51743,0.000858025,0.000858025,0.000858025
