epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.6494,1.02775,1.02477,1.20534,0.99052,0.39094,0.86628,0.58954,1.03416,2.36875,1.24384,0.000622696,0.000622696,0.000622696
43,51.7602,0.97492,1.05186,1.19401,0.99052,0.39094,0.86628,0.58954,1.03416,2.36875,1.24384,0.000630221,0.000630221,0.000630221
44,52.8989,0.96944,1.06872,1.19431,0.98555,0.4007,0.87952,0.58501,1.06914,2.32314,1.26433,0.000637395,0.000637395,0.000637395
45,54.0266,0.98004,1.06328,1.19068,0.98555,0.4007,0.87952,0.58501,1.06914,2.32314,1.26433,0.000644216,0.000644216,0.000644216
46,55.175,0.96716,1.03134,1.19673,0.96951,0.52774,0.9556,0.64726,1.03234,2.05964,1.23705,0.000650686,0.000650686,0.000650686
47,56.3083,0.90035,0.98498,1.1862,0.96951,0.52774,0.9556,0.64726,1.03234,2.05964,1.23705,0.000656804,0.000656804,0.000656804
48,57.5078,0.89701,1.05285,1.21715,0.94892,0.60977,0.95885,0.65976,1.0261,1.89369,1.25091,0.000662569,0.000662569,0.000662569
49,58.6195,0.97145,0.99297,1.21382,0.94892,0.60977,0.95885,0.65976,1.0261,1.89369,1.25091,0.000667983,0.000667983,0.000667983
1,72.3823,2.04105,4.73101,2.21706,0,0,0,0,2.33591,4.5187,2.69923,1.111e-05,1.111e-05,1.111e-05
2,148.683,1.93908,4.60874,2.10798,0,0,0,0,2.3199,4.51648,2.68307,3.3066e-05,3.3066e-05,3.3066e-05
3,223.563,2.01354,4.64391,2.19862,0.00432,0.18356,0.01379,0.00765,2.03922,3.91656,2.41694,5.46701e-05,5.46701e-05,5.46701e-05
4,303.153,1.68811,3.42974,1.91298,0.2753,0.2406,0.27648,0.16059,1.60288,4.59213,1.96596,7.59222e-05,7.59222e-05,7.59222e-05
1,2.06739,1.9962,4.03312,2.0408,0.00174,0.20741,0.01263,0.00391,2.08879,4.15963,2.44388,1.111e-05,1.111e-05,1.111e-05
2,3.45841,1.93963,4.01017,1.9703,0.00154,0.2037,0.01123,0.00294,2.08357,4.15144,2.42818,3.3066e-05,3.3066e-05,3.3066e-05
3,4.63649,1.90925,3.93801,1.962,0.0018,0.21111,0.01516,0.00461,1.99345,4.13415,2.34489,5.46701e-05,5.46701e-05,5.46701e-05
4,5.9399,1.74009,3.97633,1.84023,0.00189,0.21852,0.03206,0.00949,1.81622,4.1141,2.19514,7.59222e-05,7.59222e-05,7.59222e-05
5,7.23406,1.63949,3.88476,1.70456,0.00311,0.26296,0.05032,0.01609,1.62421,4.05221,2.0117,9.68223e-05,9.68223e-05,9.68223e-05
6,8.51185,1.53076,3.78915,1.63588,0.00468,0.33452,0.07951,0.03342,1.46648,3.92272,1.77457,0.00011737,0.00011737,0.00011737
7,9.85884,1.37934,3.64392,1.50669,0.00596,0.40356,0.17982,0.10246,1.31098,3.78336,1.54032,0.000137567,0.000137567,0.000137567
8,11.1581,1.46067,3.53767,1.54275,0.0067,0.44978,0.27319,0.17897,1.26748,3.68266,1.39901,0.000157411,0.000157411,0.000157411
9,12.4488,1.41487,3.3598,1.51616,0.00663,0.46089,0.29957,0.19489,1.26776,3.65078,1.36896,0.000176903,0.000176903,0.000176903
10,13.7048,1.4348,3.32939,1.50015,0.00705,0.49659,0.32302,0.21137,1.26726,3.62559,1.35165,0.000196044,0.000196044,0.000196044
11,14.9945,1.3784,3.116,1.44211,0.01935,0.56559,0.35119,0.21201,1.27395,3.59692,1.33607,0.000214832,0.000214832,0.000214832
12,16.2903,1.40885,3.04879,1.45442,0.03602,0.591,0.38613,0.21272,1.31313,3.56093,1.32727,0.000233268,0.000233268,0.000233268
13,17.5673,1.37614,2.93356,1.47541,0.01243,0.58367,0.35665,0.19741,1.38338,3.53881,1.33767,0.000251353,0.000251353,0.000251353
14,18.8321,1.36937,2.79221,1.47968,0.02135,0.60964,0.35665,0.19524,1.3895,3.51733,1.35275,0.000269085,0.000269085,0.000269085
15,20.1633,1.3484,2.62852,1.47509,0.02883,0.64483,0.34733,0.19632,1.35463,3.51249,1.36244,0.000286466,0.000286466,0.000286466
16,21.4901,1.34819,2.50985,1.4722,0.03213,0.70539,0.36628,0.20402,1.32442,3.49829,1.37158,0.000303494,0.000303494,0.000303494
17,22.7655,1.33444,2.38094,1.48205,0.02504,0.71037,0.38063,0.21305,1.27993,3.4653,1.35989,0.000320171,0.000320171,0.000320171
18,24.0455,1.33959,2.22496,1.47714,0.02352,0.71107,0.40993,0.24271,1.25925,3.41161,1.33771,0.000336495,0.000336495,0.000336495
19,25.3454,1.31823,2.14111,1.55593,0.02508,0.71342,0.40744,0.25552,1.26887,3.36492,1.35502,0.000352468,0.000352468,0.000352468
20,26.6231,1.31964,1.94174,1.45536,0.02503,0.71677,0.40387,0.25698,1.25213,3.33191,1.36368,0.000368089,0.000368089,0.000368089
21,27.903,1.32875,1.93362,1.58588,0.0268,0.72177,0.40969,0.26379,1.22981,3.29658,1.34328,0.000383357,0.000383357,0.000383357
22,29.1697,1.26629,1.79576,1.4557,0.02503,0.69747,0.41433,0.26858,1.23856,3.27118,1.30731,0.000398274,0.000398274,0.000398274
23,30.4351,1.33322,1.71059,1.47802,0.02762,0.66884,0.40026,0.25233,1.31908,3.24884,1.29512,0.000412839,0.000412839,0.000412839
24,31.7151,1.313,1.65969,1.46638,0.63152,0.28679,0.34914,0.20925,1.46684,3.26747,1.32093,0.000427052,0.000427052,0.000427052
25,32.9938,1.27477,1.61272,1.4711,0.96164,0.17167,0.33456,0.20656,1.42831,3.28325,1.30959,0.000440912,0.000440912,0.000440912
26,34.2697,1.31456,1.57848,1.46775,0.98986,0.13869,0.34476,0.21979,1.29977,3.29308,1.29629,0.000454421,0.000454421,0.000454421
27,35.576,1.31632,1.54472,1.46576,0.98883,0.12518,0.3735,0.23436,1.28781,3.2672,1.29827,0.000467578,0.000467578,0.000467578
28,36.8028,1.26729,1.45859,1.44731,0.98883,0.12518,0.3735,0.23436,1.28781,3.2672,1.29827,0.000480383,0.000480383,0.000480383
29,38.062,1.19451,1.43228,1.40452,0.9944,0.15419,0.42713,0.26335,1.34009,3.22392,1.31833,0.000492836,0.000492836,0.000492836
30,39.3209,1.16087,1.3585,1.32784,1,0.11816,0.50845,0.31985,1.30624,3.12688,1.30648,0.000504937,0.000504937,0.000504937
31,40.5982,1.14428,1.27353,1.32595,1,0.11816,0.50845,0.31985,1.30624,3.12688,1.30648,0.000516686,0.000516686,0.000516686
32,41.8828,1.13722,1.29939,1.37195,0.97757,0.22651,0.56219,0.36828,1.20978,2.97647,1.29777,0.000528083,0.000528083,0.000528083
33,43.1618,1.15433,1.30697,1.34872,0.9474,0.26478,0.58647,0.37067,1.20663,2.88462,1.29225,0.000539128,0.000539128,0.000539128
34,44.4023,1.16771,1.24202,1.3501,0.9474,0.26478,0.58647,0.37067,1.20663,2.88462,1.29225,0.000549821,0.000549821,0.000549821
35,45.6626,1.12709,1.17917,1.28936,0.93726,0.26402,0.51746,0.30565,1.33956,2.90847,1.31095,0.000560163,0.000560163,0.000560163
36,46.9485,1.10871,1.25075,1.33623,0.95177,0.28028,0.57813,0.33127,1.3474,2.86705,1.33917,0.000570152,0.000570152,0.000570152
37,48.1751,1.09108,1.19915,1.28952,0.95177,0.28028,0.57813,0.33127,1.3474,2.86705,1.33917,0.000579789,0.000579789,0.000579789
38,49.4353,1.03586,1.27024,1.33098,0.97642,0.32985,0.78451,0.46844,1.21414,2.70042,1.32844,0.000589074,0.000589074,0.000589074
39,50.7317,1.0522,1.146,1.2869,0.97158,0.32581,0.84443,0.47239,1.25351,2.68575,1.3533,0.000598008,0.000598008,0.000598008
40,51.9782,1.07696,1.21341,1.34333,0.97158,0.32581,0.84443,0.47239,1.25351,2.68575,1.3533,0.000606589,0.000606589,0.000606589
41,53.3125,1.15438,1.23901,1.37665,0.91378,0.27711,0.688,0.35936,1.37822,2.80148,1.38158,0.000614819,0.000614819,0.000614819
